date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,city
1606266000,5,961.3,0.62,20.22,9.39,4.77,61.7,74.83,8.11,Mysuru
1606269600,5,1161.58,5.31,28.79,2.06,5.9,64.99,81.95,6.21,Mysuru
1606273200,5,1295.09,11.4,35.99,2.95,6.86,60.18,77.58,6.9,Mysuru
1606276800,4,547.41,0.19,12,75.82,6.8,36.06,40.9,2.06,Mysuru
1606280400,4,467.3,0.12,8.05,89.41,6.38,45.36,50.12,1.79,Mysuru
1606284000,5,453.95,0.08,7.45,97.28,6.56,53.6,58.91,1.84,Mysuru
1606287600,5,433.92,0.16,6.86,105.86,6.38,50.88,55.86,1.85,Mysuru
1606291200,4,403.88,0.14,5.91,110.15,5.78,36.1,39.91,1.84,Mysuru
1606294800,2,367.17,0.12,5.4,105.86,5.25,19.81,22.37,1.85,Mysuru
1606298400,2,340.46,0.07,6.08,95.84,5.25,11.14,13.14,2.15,Mysuru
1606302000,2,337.12,0.03,7.71,83.69,5.31,8.5,10.54,2.76,Mysuru
1606305600,1,350.48,0.01,9.08,75.1,5.01,8.56,10.87,3.23,Mysuru
1606309200,1,383.85,0,11.14,69.38,5.36,9.9,12.78,4.05,Mysuru
1606312800,2,413.9,0,12.51,65.09,5.84,11.24,14.79,5.13,Mysuru
1606316400,2,433.92,0,12.68,63.66,5.96,12.43,16.5,5.95,Mysuru
1606320000,2,447.27,0,12,64.37,5.78,13.13,17.55,6.4,Mysuru
1606323600,2,460.63,0,11.65,66.52,5.54,13.41,18.07,6.21,Mysuru
1606327200,2,467.3,0,11.31,69.38,5.25,12.65,16.94,5.32,Mysuru
1606330800,2,447.27,0,10.11,72.24,4.59,10.34,13.59,4.31,Mysuru
1606334400,1,420.57,0,7.71,77.96,3.99,7.86,10.17,3.55,Mysuru
1606338000,2,407.22,0,5.27,83.69,3.46,6.29,7.9,2.82,Mysuru
1606341600,2,397.21,0,3.26,90.12,3.01,5.45,6.41,2,Mysuru
1606345200,2,397.21,0,2.59,90.12,2.71,5.75,6.52,1.77,Mysuru
1606348800,2,397.21,0,2.53,89.41,2.53,6.52,7.26,1.73,Mysuru
1606352400,2,403.88,0,3.34,87.98,2.71,6.95,7.93,1.93,Mysuru
1606356000,2,423.91,0,5.48,84.4,3.31,6.86,8.34,2.31,Mysuru
1606359600,1,440.6,0.01,7.97,79.39,3.87,6.8,8.58,2.57,Mysuru
1606363200,1,433.92,0.06,8.74,74.39,4.35,7.54,9.39,2.6,Mysuru
1606366800,1,427.25,0.14,8.14,72.96,4.23,9.28,11.14,2.69,Mysuru
1606370400,2,420.57,0.22,6.6,74.39,3.49,10.83,12.55,2.79,Mysuru
1606374000,2,413.9,0.27,5.06,76.53,2.5,11.4,12.7,2.57,Mysuru
1606377600,2,413.9,0.15,5.18,74.39,2.35,11.22,12.27,2.44,Mysuru
1606381200,2,417.23,0.07,5.91,69.38,2.59,10.51,11.45,2.38,Mysuru
1606384800,1,427.25,0.06,6.94,63.66,2.74,9.87,10.86,2.6,Mysuru
1606388400,2,447.27,0.08,9.08,57.22,2.74,10.04,11.26,3.04,Mysuru
1606392000,2,473.98,0.03,11.82,50.78,2.65,10.39,11.85,3.33,Mysuru
1606395600,2,534.06,0,17.14,40.41,3.01,12.03,14.48,3.83,Mysuru
1606399200,2,594.14,0,21.42,29.33,3.31,14.37,18.39,3.99,Mysuru
1606402800,2,614.17,0.02,21.42,21.64,3.13,15.2,20.33,3.74,Mysuru
1606406400,2,627.52,0.05,20.39,16.27,3.01,15.55,21.72,3.9,Mysuru
1606410000,2,647.54,0.12,20.39,11.8,3.04,16.47,23.69,4.05,Mysuru
1606413600,2,647.54,0.2,20.56,8.58,2.74,16.73,23.78,3.93,Mysuru
1606417200,2,627.52,0.19,19.02,7.33,2.12,15.75,21.69,3.74,Mysuru
1606420800,2,607.49,0.15,16.79,6.71,1.85,15.58,21.23,3.9,Mysuru
1606424400,2,600.82,0.13,14.74,6.62,1.88,15.94,21.41,4.05,Mysuru
1606428000,2,600.82,0.21,13.2,5.81,1.91,17.22,22.87,4.56,Mysuru
1606431600,2,614.17,0.48,11.82,3.62,1.91,19.1,25.33,5.51,Mysuru
1606435200,3,627.52,1.24,11.14,1.74,2.09,20.95,27.41,7.03,Mysuru
1606438800,3,707.63,4.53,11.65,0.46,2.95,24.88,32.92,7.47,Mysuru
1606442400,4,921.25,14.08,13.88,0.6,4.71,33.7,46.28,6.27,Mysuru
1606446000,4,1041.41,20.79,18.34,6.62,6.62,38.64,51.69,6.27,Mysuru
1606449600,3,520.71,3.1,10.97,51.5,9.66,22.34,25.41,2.15,Mysuru
1606453200,3,473.98,2.04,7.88,75.1,9.42,24.79,27.45,2.34,Mysuru
1606456800,4,453.95,1.05,5.23,104.43,9.06,32.18,34.85,2.5,Mysuru
1606460400,4,417.23,0.48,2.96,117.3,6.97,32.61,34.87,2.31,Mysuru
1606464000,4,397.21,0.38,2.46,115.87,5.6,28.75,30.66,2.25,Mysuru
1606467600,4,400.54,0.4,2.79,118.73,5.78,27.41,29.23,2.38,Mysuru
1606471200,4,440.6,0.73,6.26,118.73,6.91,28.27,30.7,3.8,Mysuru
1606474800,4,514.03,1.09,13.54,110.15,7.99,29.91,33.5,6.02,Mysuru
1606478400,4,587.46,0.6,23.65,89.41,8.23,29.14,33.75,7.79,Mysuru
1606482000,4,667.57,0.01,31.19,70.1,9.06,29.69,35.29,9.12,Mysuru
1606485600,4,687.6,0,30.16,58.65,9.66,31.17,37.35,9.5,Mysuru
1606489200,4,640.87,0,22.96,50.78,9.18,31.07,36.97,8.61,Mysuru
1606492800,4,654.22,0.01,21.08,36.48,7.45,31.94,39.01,7.35,Mysuru
1606496400,4,774.38,0.08,25.71,20.56,6.44,36.78,47.05,6.52,Mysuru
1606500000,4,854.49,0.35,29.13,10.82,5.6,39.86,51.76,6.21,Mysuru
1606503600,4,841.14,0.42,28.45,7.6,4.77,39.9,51.1,6.27,Mysuru
1606507200,4,767.71,0.13,23.31,10.01,4.11,38.43,47.76,4.88,Mysuru
1606510800,4,667.57,0.03,17.65,14.66,4.11,37.12,44.35,3.83,Mysuru
1606514400,4,580.79,0.01,13.71,19.13,4.53,37.66,43.09,3.33,Mysuru
1606518000,4,554.09,0.01,12.34,18.06,4.11,40.28,45.24,3.36,Mysuru
1606521600,4,554.09,0.04,11.82,15.74,3.87,43.53,48.25,3.61,Mysuru
1606525200,4,574.11,0.16,12.85,12.34,3.93,46.62,51.64,3.93,Mysuru
1606528800,4,640.87,1.2,15.77,9.03,4.71,49.8,56.15,4.02,Mysuru
1606532400,5,700.95,4.81,15.77,14.66,6.38,53.64,60.74,4.18,Mysuru
1606536000,4,547.41,1.47,9.25,48.64,7.33,41.89,45.47,2.12,Mysuru
1606539600,4,547.41,0.94,7.37,70.81,6.68,42.34,45.87,2.38,Mysuru
1606543200,4,560.76,0.51,5.57,94.41,6.32,44.98,48.39,2.34,Mysuru
1606546800,4,520.71,0.25,3.17,117.3,4.47,35.75,37.97,1.79,Mysuru
1606550400,4,500.68,0.19,2.27,124.45,3.49,28.81,30.33,1.55,Mysuru
1606554000,3,494,0.19,2.06,121.59,3.07,24.41,25.67,1.41,Mysuru
1606557600,3,487.33,0.21,2.64,117.3,3.34,22.31,23.56,1.65,Mysuru
1606561200,3,500.68,0.19,4.03,110.15,3.7,22.06,23.45,2.15,Mysuru
1606564800,3,507.36,0.07,5.83,100.14,3.67,20.64,22.13,2.5,Mysuru
1606568400,2,520.71,0,7.45,88.69,3.76,19.21,21.07,2.98,Mysuru
1606572000,2,540.73,0,8.82,78.68,4.11,19.7,22.43,3.58,Mysuru
1606575600,3,567.44,0,9.25,75.1,4.65,23.33,26.89,3.52,Mysuru
1606579200,4,587.46,0,8.82,77.25,5.25,30.82,35.17,3.14,Mysuru
1606582800,4,600.82,0,8.14,80.82,5.9,38.77,43.37,2.6,Mysuru
1606586400,4,600.82,0,7.28,80.82,6.56,43.89,47.87,2.06,Mysuru
1606590000,4,574.11,0,6.17,76.53,7.15,44.8,47.74,1.62,Mysuru
1606593600,4,547.41,0,5.48,68.67,6.68,41.92,44.21,1.57,Mysuru
1606597200,4,507.36,0,4.84,60.8,5.25,34.98,36.83,1.63,Mysuru
1606600800,4,467.3,0,4.16,55.08,3.61,26.14,27.66,1.77,Mysuru
1606604400,2,433.92,0,3.68,51.5,2.68,18.21,19.49,1.88,Mysuru
1606608000,2,410.56,0,3.51,51.5,2.53,12.83,13.96,1.9,Mysuru
1606611600,2,407.22,0,3.9,52.21,2.77,10.22,11.49,1.9,Mysuru
1606615200,2,423.91,0.04,5.06,52.21,3.31,10.08,11.85,1.98,Mysuru
1606618800,2,440.6,0.41,6,52.21,3.93,11.24,13.45,2.28,Mysuru
1606622400,1,380.52,0.46,3.86,56.51,2.95,8.21,9.83,1.77,Mysuru
1606626000,1,353.81,0.28,2.83,57.22,2.47,6.97,8.18,1.63,Mysuru
1606629600,1,350.48,0.15,2.4,54.36,2.33,7.69,8.68,1.46,Mysuru
1606633200,1,320.44,0.17,1.78,52.21,2.12,7.15,7.86,1.14,Mysuru
1606636800,1,290.39,0.21,1.5,56.51,2.09,6.49,7.11,1.08,Mysuru
1606640400,1,280.38,0.22,1.48,63.66,2.15,6.31,6.92,1.16,Mysuru
1606644000,1,290.39,0.25,1.86,69.38,2.35,5.86,6.52,1.44,Mysuru
1606647600,1,307.08,0.29,2.79,70.81,2.65,5.65,6.47,1.93,Mysuru
1606651200,1,327.11,0.18,4.2,67.23,2.71,5.67,6.67,2.38,Mysuru
1606654800,1,343.8,0.01,5.48,62.94,2.86,6.42,7.76,3.01,Mysuru
1606658400,1,363.83,0,6.08,60.08,3.04,8.1,9.98,3.86,Mysuru
1606662000,1,377.18,0,5.91,58.65,3.01,9.74,12.04,4.12,Mysuru
1606665600,2,380.52,0,5.36,58.65,2.8,11.04,13.52,3.67,Mysuru
1606669200,2,393.87,0,5.18,56.51,2.65,12.52,15.12,3.17,Mysuru
1606672800,2,400.54,0,5.14,52.21,2.47,13.54,15.98,2.63,Mysuru
1606676400,2,403.88,0,5.06,47.92,2.38,13.91,16.02,2.25,Mysuru
1606680000,2,400.54,0,5.1,43.27,2.74,14.2,16.27,2.19,Mysuru
1606683600,2,390.53,0,4.97,38.27,2.95,14.05,16.21,2.15,Mysuru
1606687200,2,380.52,0,4.97,33.98,3.31,13.36,15.44,2.12,Mysuru
1606690800,2,370.5,0,4.93,31.11,3.7,12.11,14.01,2.06,Mysuru
1606694400,2,360.49,0,5.01,30.4,4.05,10.88,12.66,1.98,Mysuru
1606698000,1,357.15,0,5.18,32.19,4.17,9.5,11.35,1.88,Mysuru
1606701600,1,373.84,0.04,6.26,36.12,4.41,9.25,11.47,2.01,Mysuru
1606705200,1,393.87,0.38,7.03,42.92,4.83,9.43,11.88,2.28,Mysuru
1606708800,1,383.85,0.57,5.36,60.8,4.23,7.76,9.89,2.15,Mysuru
1606712400,1,380.52,0.47,3.9,75.1,3.79,6.78,8.64,2.12,Mysuru
1606716000,2,377.18,0.36,2.91,83.69,3.55,6.56,8.28,2.09,Mysuru
1606719600,2,343.8,0.3,2.08,86.55,3.04,5.64,7.09,1.82,Mysuru
1606723200,2,313.76,0.26,1.95,86.55,2.68,4.95,6.32,1.69,Mysuru
1606726800,2,293.73,0.23,2.06,85.12,2.44,4.48,5.84,1.65,Mysuru
1606730400,2,293.73,0.3,3.38,82.25,3.34,4.88,6.48,2.12,Mysuru
1606734000,1,320.44,0.41,6,79.39,4.65,6.04,8.1,3.01,Mysuru
1606737600,1,353.81,0.26,9.6,75.1,5.66,7.37,9.89,3.9,Mysuru
1606741200,1,383.85,0.01,12.17,70.81,6.2,8.77,11.87,4.88,Mysuru
1606744800,2,403.88,0,12,67.23,6.68,10.1,13.85,5.89,Mysuru
1606748400,2,407.22,0,10.63,64.37,6.32,11.25,15.31,6.33,Mysuru
1606752000,2,397.21,0,7.97,66.52,4.65,12.68,16.65,5.7,Mysuru
1606755600,2,413.9,0,6.94,68.67,4.05,16.12,20.17,4.81,Mysuru
1606759200,3,440.6,0,7.11,67.95,4.17,20.27,24.41,3.96,Mysuru
1606762800,3,467.3,0,7.63,65.8,4.53,23.43,27.58,3.29,Mysuru
1606766400,4,494,0,8.74,59.37,5.13,27.33,32.03,3.01,Mysuru
1606770000,4,520.71,0,9.85,51.5,5.66,33.39,38.99,2.79,Mysuru
1606773600,4,527.38,0,10.71,45.42,6.02,41.2,48.1,2.72,Mysuru
1606777200,4,534.06,0,10.97,41.84,5.96,49.58,57.73,2.69,Mysuru
1606780800,5,540.73,0,10.97,40.05,5.96,57.83,67.17,2.69,Mysuru
1606784400,5,567.44,0,12,37.55,6.44,65.87,76.61,2.88,Mysuru
1606788000,5,614.17,0.21,14.91,35.41,7.87,73.24,86.12,3.33,Mysuru
1606791600,5,620.84,2.07,14.74,40.77,9.66,77.89,91.86,3.77,Mysuru
1606795200,5,453.95,1.9,8.82,62.94,8.35,55.33,65,2.98,Mysuru
1606798800,4,377.18,1.36,6.34,80.11,7.75,45.41,53.07,3.04,Mysuru
1606802400,4,340.46,0.79,4.28,98.71,7.63,42.95,49.35,3.14,Mysuru
1606806000,4,273.71,0.43,2.23,101.57,5.54,29.06,32.86,2.34,Mysuru
1606809600,3,257.02,0.35,1.91,105.86,4.77,23.68,26.5,2.19,Mysuru
1606813200,3,263.69,0.32,2.04,114.44,4.65,23.37,25.93,2.28,Mysuru
1606816800,3,290.39,0.43,3.98,120.16,6.08,24.15,27.04,3.04,Mysuru
1606820400,4,333.79,0.43,7.88,117.3,7.87,25.2,28.91,4.43,Mysuru
1606824000,4,373.84,0.14,12.51,108.72,8.58,25.74,30.29,5.64,Mysuru
1606827600,4,397.21,0,14.57,98.71,8.82,26.4,31.83,6.65,Mysuru
1606831200,4,397.21,0,14.22,87.98,9.18,26.36,32.75,7.41,Mysuru
1606834800,3,387.19,0,13.37,74.39,8.82,24.96,32.01,7.79,Mysuru
1606838400,3,370.5,0,11.48,63.66,6.86,23.07,30.32,7.66,Mysuru
1606842000,3,370.5,0,10.54,57.94,5.6,22.72,30.33,7.79,Mysuru
1606845600,3,380.52,0,10.37,53.64,5.07,24.15,32.05,7.73,Mysuru
1606849200,4,400.54,0,11.31,47.92,4.77,27.08,35.13,6.9,Mysuru
1606852800,4,453.95,0,13.54,40.77,4.71,31.66,40.37,5.7,Mysuru
1606856400,4,534.06,0,16.97,32.9,4.71,37.87,47.64,4.5,Mysuru
1606860000,4,627.52,0,21.42,25.03,4.65,44.44,55.31,3.9,Mysuru
1606863600,5,687.6,0.01,22.62,20.56,4.41,50.68,62.2,3.48,Mysuru
1606867200,5,694.28,0.01,20.74,19.67,3.99,56.57,68.28,3.23,Mysuru
1606870800,5,680.92,0.03,18.34,20.92,3.93,62.89,75.06,3.26,Mysuru
1606874400,5,687.6,0.34,19.02,22.71,4.83,69.43,82.87,3.9,Mysuru
1606878000,5,674.25,2.4,18.51,29.68,6.08,70.06,83.73,4.81,Mysuru
1606881600,4,440.6,1.84,9.94,55.79,6.2,44.72,52.85,3.23,Mysuru
1606885200,4,377.18,1.62,7.2,70.1,6.2,38.42,45.35,3.17,Mysuru
1606888800,4,363.83,1.22,5.48,90.12,6.44,40.24,46.78,3.29,Mysuru
1606892400,4,290.39,0.27,4.16,90.12,4.89,25.74,29.67,2.28,Mysuru
1606896000,2,270.37,0.11,4.24,85.83,4.53,17.3,19.93,2,Mysuru
1606899600,2,290.39,0.07,4.97,90.84,5.19,15.48,17.65,2.06,Mysuru
1606903200,2,323.77,0.03,6.94,92.98,6.74,15.51,17.69,2.57,Mysuru
1606906800,2,350.48,0.01,9.25,91.55,8.23,16.81,19.4,3.39,Mysuru
1606910400,2,363.83,0.01,11.31,86.55,8.82,17.96,20.98,4.02,Mysuru
1606914000,2,373.84,0,12.68,78.68,8.82,18.45,21.97,4.69,Mysuru
1606917600,3,393.87,0,14.05,68.67,9.06,20.51,25,5.95,Mysuru
1606921200,3,410.56,0,14.22,62.23,8.94,22.94,28.41,6.78,Mysuru
1606924800,4,417.23,0,13.54,57.22,7.99,25.48,31.64,7.35,Mysuru
1606928400,4,453.95,0,14.91,51.5,7.75,30.32,37.41,7.47,Mysuru
1606932000,4,514.03,0,18.17,45.42,8.23,37.68,45.44,6.52,Mysuru
1606935600,4,567.44,0,20.74,40.41,8.35,46.12,54.11,5.26,Mysuru
1606939200,5,587.46,0,20.56,37.91,7.99,53.96,62.07,4.5,Mysuru
1606942800,5,567.44,0,17.99,38.62,6.97,58.74,66.57,3.93,Mysuru
1606946400,5,520.71,0,14.22,41.84,6.02,58.27,65.38,3.71,Mysuru
1606950000,5,460.63,0,10.71,46.49,5.36,53.83,59.97,3.93,Mysuru
1606953600,4,417.23,0,8.48,50.78,5.07,49.22,54.45,4.31,Mysuru
1606957200,4,400.54,0,7.88,55.79,5.19,47.07,51.83,4.62,Mysuru
1606960800,4,423.91,0,10.28,58.65,6.08,49.05,54.3,5.07,Mysuru
1606964400,5,460.63,0.07,13.88,60.8,7.45,50.25,55.69,5.13,Mysuru
1606968000,4,433.92,0.19,12.68,70.81,7.87,46.58,51.18,3.96,Mysuru
1606971600,4,410.56,0.23,10.11,77.96,7.33,45.74,49.96,3.36,Mysuru
1606975200,4,393.87,0.26,7.97,84.4,6.5,44.76,48.52,2.88,Mysuru
1606978800,4,373.84,0.15,5.57,88.69,4.71,33.83,36.02,1.88,Mysuru
1606982400,4,380.52,0.15,5.48,90.12,4.41,31.03,32.54,1.66,Mysuru
1606986000,4,387.19,0.16,5.74,90.12,4.35,27.68,28.89,1.65,Mysuru
1606989600,4,410.56,0.19,7.28,89.41,5.07,25.57,26.69,1.79,Mysuru
1606993200,4,447.27,0.11,9.68,86.55,5.42,26.42,27.58,1.74,Mysuru
1606996800,4,480.65,0.02,11.65,84.4,5.01,29.99,31.18,1.38,Mysuru
1607000400,4,514.03,0,11.82,82.97,4.59,35.06,36.35,1.25,Mysuru
1607004000,4,520.71,0,10.97,78.68,4.41,34.65,36.1,1.3,Mysuru
1607007600,4,520.71,0,10.2,72.24,4.35,31.02,32.54,1.35,Mysuru
1607011200,4,514.03,0,9.25,67.23,4.23,30.49,32.08,1.41,Mysuru
1607014800,4,520.71,0,9,62.23,4.59,33.81,35.49,1.47,Mysuru
1607018400,4,527.38,0,9.08,57.22,4.77,38.17,39.66,1.46,Mysuru
1607022000,4,520.71,0,8.48,52.93,4.53,40.62,41.77,1.43,Mysuru
1607025600,4,514.03,0,7.45,49.35,4.29,42.72,43.78,1.5,Mysuru
1607029200,4,500.68,0,6.43,46.49,4.05,43.21,44.25,1.58,Mysuru
1607032800,4,487.33,0,5.74,45.42,4.11,40.16,41.16,1.62,Mysuru
1607036400,4,473.98,0,5.18,45.78,4.29,34.26,35.17,1.55,Mysuru
1607040000,4,480.65,0,4.97,48.64,4.65,29.25,30.14,1.46,Mysuru
1607043600,4,494,0,5.44,51.5,5.13,28.01,29,1.36,Mysuru
1607047200,4,540.73,0.01,7.71,50.07,5.78,30.25,31.65,1.46,Mysuru
1607050800,4,587.46,0.12,10.63,47.21,6.26,32.14,33.88,1.54,Mysuru
1607054400,4,614.17,0.43,10.88,46.49,6.32,30.39,32.19,1.52,Mysuru
1607058000,4,607.49,0.6,10.03,49.35,6.26,26.08,27.69,1.43,Mysuru
1607061600,3,594.14,0.64,9.6,54.36,6.32,21.24,22.56,1.35,Mysuru
1607065200,2,580.79,0.3,9.85,59.37,6.14,17.82,18.88,1.28,Mysuru
1607068800,2,580.79,0.2,10.88,58.65,6.14,18.06,19.13,1.41,Mysuru
1607072400,2,574.11,0.13,11.48,56.51,6.26,19.2,20.25,1.55,Mysuru
1607076000,2,554.09,0.07,12.17,52.21,6.86,19.13,20.22,1.73,Mysuru
1607079600,2,547.41,0.04,14.4,44.35,7.51,19.72,21,1.81,Mysuru
1607083200,3,554.09,0.02,16.62,36.84,7.51,21.09,22.53,1.68,Mysuru
1607086800,3,567.44,0.01,18.34,30.4,7.09,22.01,23.79,1.74,Mysuru
1607090400,3,574.11,0.01,19.19,25.03,7.09,22.35,24.66,1.95,Mysuru
1607094000,3,587.46,0.02,19.88,21.28,7.03,23.66,26.42,2.09,Mysuru
1607097600,4,600.82,0.03,19.71,19.13,6.38,25.75,29.18,2.34,Mysuru
1607101200,4,600.82,0.04,19.19,17.52,5.72,28.31,32.54,2.6,Mysuru
1607104800,4,594.14,0.04,18.17,16.81,5.07,29.68,34.13,2.63,Mysuru
1607108400,4,554.09,0.02,15.77,17.52,4.47,29.35,33.37,2.47,Mysuru
1607112000,4,507.36,0,12.51,19.85,3.99,27.55,30.95,2.28,Mysuru
1607115600,3,473.98,0,10.2,22.71,3.93,24.69,27.74,2.15,Mysuru
1607119200,3,447.27,0,8.74,25.39,3.99,21.53,24.4,2.06,Mysuru
1607122800,2,433.92,0,7.8,26.46,3.87,18.77,21.49,2.09,Mysuru
1607126400,2,420.57,0,7.03,27.18,3.64,15.65,18.09,2.12,Mysuru
1607130000,2,410.56,0.01,6.6,28.25,3.43,12.24,14.44,2.22,Mysuru
1607133600,1,417.23,0.02,7.37,29.33,3.64,9.69,11.97,2.34,Mysuru
1607137200,1,427.25,0.24,8.14,31.47,3.99,7.91,10.22,2.5,Mysuru
1607140800,1,397.21,0.27,6.34,37.91,3.55,4.87,6.39,1.96,Mysuru
1607144400,1,390.53,0.3,5.66,39.34,3.61,3.56,4.72,1.81,Mysuru
1607148000,1,387.19,0.42,5.66,41.49,3.87,3.07,4.01,1.71,Mysuru
1607151600,1,390.53,0.33,6.26,45.78,4.05,3.01,3.76,1.54,Mysuru
1607155200,1,400.54,0.4,6.86,48.64,4.23,3.39,4.06,1.49,Mysuru
1607158800,1,407.22,0.44,7.28,49.35,4.41,3.46,4.1,1.52,Mysuru
1607162400,1,420.57,0.41,8.74,46.49,5.19,4.02,4.82,1.96,Mysuru
1607166000,1,440.6,0.22,10.8,42.92,5.54,5,6.04,2.22,Mysuru
1607169600,1,467.3,0.03,12.51,42.92,5.42,6.12,7.39,2.03,Mysuru
1607173200,1,480.65,0,12.85,46.49,5.42,7.52,9.03,1.87,Mysuru
1607176800,1,494,0,12.85,48.64,6.02,9,10.74,1.81,Mysuru
1607180400,1,507.36,0,13.54,43.63,6.5,9.58,11.39,1.73,Mysuru
1607184000,1,520.71,0,14.05,36.12,6.14,9.56,11.55,1.81,Mysuru
1607187600,2,520.71,0,13.54,30.76,5.42,10.1,12.39,1.95,Mysuru
1607191200,2,494,0,11.48,31.11,4.47,11.72,13.85,1.92,Mysuru
1607194800,2,447.27,0,8.74,35.76,3.73,14.38,16.15,1.79,Mysuru
1607198400,2,417.23,0,6.86,39.7,3.4,16.07,17.76,1.82,Mysuru
1607202000,2,397.21,0,5.91,41.84,3.25,16.47,18.19,1.92,Mysuru
1607205600,2,380.52,0,5.23,44.35,3.25,16.26,17.99,1.98,Mysuru
1607209200,2,367.17,0,4.5,48.64,3.13,15.66,17.27,1.92,Mysuru
1607212800,2,357.15,0,3.94,52.93,3.1,15.29,16.74,1.85,Mysuru
1607216400,2,353.81,0,3.94,55.79,3.22,16,17.45,1.87,Mysuru
1607220000,2,367.17,0.01,5.01,55.79,3.67,16.43,18.1,2.01,Mysuru
1607223600,2,380.52,0.09,6.26,55.08,4.11,14.89,16.69,2.12,Mysuru
1607227200,2,387.19,0.16,6.17,54.36,4.11,11.19,12.68,1.98,Mysuru
1607230800,1,383.85,0.23,5.57,55.08,4.17,8.51,9.77,1.95,Mysuru
1607234400,1,380.52,0.27,4.84,56.51,4.05,7.26,8.32,1.9,Mysuru
1607238000,1,377.18,0.25,3.9,59.37,3.55,6.14,6.97,1.71,Mysuru
1607241600,1,380.52,0.21,3.43,61.51,3.13,5.34,6.03,1.58,Mysuru
1607245200,1,383.85,0.2,3.26,60.8,2.92,4.99,5.62,1.55,Mysuru
1607248800,1,397.21,0.17,3.98,57.22,3.37,5.18,5.84,1.73,Mysuru
1607252400,1,413.9,0.14,5.48,51.5,3.82,5.99,6.77,1.93,Mysuru
1607256000,1,423.91,0.05,7.2,44.7,3.87,6.82,7.71,1.82,Mysuru
1607259600,1,433.92,0,8.23,39.34,3.76,7.4,8.48,1.66,Mysuru
1607263200,1,440.6,0,8.31,35.76,3.93,7.7,9.07,1.63,Mysuru
1607266800,1,453.95,0,8.31,32.9,4.23,7.96,9.54,1.65,Mysuru
1607270400,1,467.3,0,8.4,30.04,4.47,8.31,10.19,1.76,Mysuru
1607274000,1,480.65,0,9.34,26.11,4.89,8.7,10.85,1.81,Mysuru
1607277600,1,500.68,0.01,10.8,21.64,5.42,8.84,10.92,1.69,Mysuru
1607281200,1,494,0.01,11.31,19.31,5.66,8.47,10.26,1.54,Mysuru
1607284800,1,467.3,0.01,9.85,19.85,5.25,7.42,8.99,1.5,Mysuru
1607288400,1,423.91,0,7.2,22.89,4.23,5.26,6.55,1.47,Mysuru
1607292000,1,380.52,0,5.23,25.75,3.79,3.57,4.45,1.31,Mysuru
1607295600,1,357.15,0,4.63,25.39,3.82,3.14,3.78,1.28,Mysuru
1607299200,1,347.14,0.01,4.67,23.96,4.11,3.31,3.99,1.35,Mysuru
1607302800,1,350.48,0.02,5.31,21.99,4.41,3.86,4.98,1.62,Mysuru
1607306400,1,373.84,0.07,7.03,18.6,4.95,4.78,6.68,1.92,Mysuru
1607310000,1,393.87,0.37,8.57,15.91,5.36,5.65,7.9,1.92,Mysuru
1607313600,1,383.85,1.03,6.94,19.49,4.77,5.52,7.46,1.74,Mysuru
1607317200,1,373.84,1.23,5.4,25.39,4.41,5.47,7.09,1.74,Mysuru
1607320800,1,360.49,1.06,4.54,33.62,4.23,5.52,6.77,1.65,Mysuru
1607324400,1,357.15,0.82,4.84,41.13,4.53,5.96,6.96,1.58,Mysuru
1607328000,1,367.17,0.61,5.27,46.49,4.35,6.76,7.7,1.52,Mysuru
1607331600,1,373.84,0.33,4.93,48.64,3.25,6.54,7.41,1.27,Mysuru
1607335200,1,377.18,0.16,4.97,45.78,2.27,5.65,6.44,1,Mysuru
1607338800,1,397.21,0.1,5.91,43.27,2.24,5.34,6.16,0.93,Mysuru
1607342400,1,427.25,0.03,7.63,40.77,2.68,5.72,6.61,0.96,Mysuru
1607346000,1,460.63,0,9.25,36.12,3.46,6.94,8.05,1.08,Mysuru
1607349600,1,487.33,0,10.11,30.76,3.93,8.78,10.18,1.19,Mysuru
1607353200,2,500.68,0,10.2,26.11,3.93,10.44,11.89,1.25,Mysuru
1607356800,2,507.36,0.01,9.6,23.6,3.43,10.95,12.53,1.36,Mysuru
1607360400,2,494,0.01,8.82,22.71,2.98,10.16,11.86,1.46,Mysuru
1607364000,1,473.98,0.01,7.54,23.6,2.53,8.57,10.02,1.43,Mysuru
1607367600,1,447.27,0,6.08,26.11,2.06,7.01,8.11,1.36,Mysuru
1607371200,1,427.25,0,5.06,27.18,1.89,6.43,7.28,1.35,Mysuru
1607374800,1,423.91,0,4.41,26.82,1.86,6.38,7.11,1.33,Mysuru
1607378400,1,433.92,0,4.37,25.75,2.03,6.83,7.57,1.36,Mysuru
1607382000,1,447.27,0,4.8,23.96,2.24,7.24,8.06,1.43,Mysuru
1607385600,1,460.63,0.01,5.44,22.89,2.53,7.02,7.91,1.49,Mysuru
1607389200,1,467.3,0.01,6,22.89,2.86,6.32,7.45,1.54,Mysuru
1607392800,1,480.65,0.04,6.86,25.75,3.13,5.63,7.24,1.57,Mysuru
1607396400,1,487.33,0.23,7.2,31.83,3.22,5.31,7.19,1.52,Mysuru
1607400000,1,467.3,0.45,6.17,40.41,2.95,4.8,6.35,1.35,Mysuru
