dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,city
1640977200,1,417.23,0.0,5.1,62.94,1.33,5.8,7.2,1.84,Hassan
1640980800,1,417.23,0.0,4.93,60.08,1.67,6.06,7.5,1.73,Hassan
1640984400,1,413.89,0.0,4.88,58.65,2.09,7.33,9.0,1.65,Hassan
1640988000,1,407.22,0.0,4.63,58.65,2.35,7.61,9.17,1.55,Hassan
1640991600,1,400.54,0.0,4.2,58.65,2.41,7.12,8.48,1.54,Hassan
1640995200,1,393.87,0.0,3.77,59.37,2.29,6.62,7.82,1.5,Hassan
1640998800,1,387.19,0.0,3.47,59.37,2.03,6.42,7.61,1.55,Hassan
1641002400,1,377.18,0.0,3.26,61.51,1.56,5.67,6.71,1.49,Hassan
1641006000,1,363.83,0.09,3.0,64.37,1.16,4.44,5.3,1.41,Hassan
1641009600,1,350.48,0.15,2.21,69.38,0.89,3.37,4.0,1.23,Hassan
1641013200,1,343.8,0.14,1.76,73.67,0.83,3.41,3.98,1.27,Hassan
1641016800,1,340.46,0.14,1.74,76.53,0.89,4.24,4.81,1.36,Hassan
1641020400,1,340.46,0.13,1.86,77.25,0.93,3.97,4.46,1.31,Hassan
1641024000,1,347.14,0.11,2.48,76.53,1.12,3.47,3.94,1.36,Hassan
1641027600,1,353.81,0.14,3.38,74.39,1.49,3.51,3.99,1.46,Hassan
1641031200,1,353.81,0.13,3.38,72.96,1.58,3.96,4.47,1.58,Hassan
1641034800,1,343.8,0.09,3.3,71.53,1.49,4.76,5.3,1.79,Hassan
1641038400,1,333.79,0.03,3.34,70.1,1.37,5.61,6.18,1.96,Hassan
1641042000,1,337.12,0.0,3.51,70.1,1.22,6.32,6.91,2.28,Hassan
1641045600,1,347.14,0.0,3.51,70.81,1.09,6.52,7.15,2.44,Hassan
1641049200,1,357.15,0.0,3.47,70.1,1.01,6.47,7.17,2.28,Hassan
1641052800,1,370.5,0.0,3.81,65.8,1.04,5.89,6.71,2.15,Hassan
1641056400,1,390.53,0.0,4.58,59.37,1.18,4.77,5.72,2.15,Hassan
1641060000,1,410.56,0.0,5.48,53.64,1.31,4.67,5.67,2.09,Hassan
1641063600,1,433.92,0.0,6.0,50.07,1.42,5.92,6.91,1.98,Hassan
1641067200,1,447.27,0.0,5.91,48.64,1.56,8.15,9.13,1.84,Hassan
1641070800,1,453.95,0.0,5.31,50.07,1.74,9.66,10.59,1.57,Hassan
1641074400,1,447.27,0.0,4.54,52.93,1.94,9.3,10.23,1.41,Hassan
1641078000,2,440.6,0.0,4.11,53.64,2.03,10.11,11.21,1.44,Hassan
1641081600,2,423.91,0.0,3.86,53.64,2.0,10.29,11.48,1.5,Hassan
1641085200,2,403.88,0.0,3.86,53.64,2.0,10.83,12.25,1.54,Hassan
1641088800,2,387.19,0.02,4.24,51.5,2.06,11.32,13.12,1.54,Hassan
1641092400,2,370.5,0.5,4.07,48.64,2.03,11.04,13.15,1.6,Hassan
1641096000,1,333.79,0.85,2.78,51.5,1.91,9.71,11.88,1.68,Hassan
1641099600,1,313.76,0.58,1.99,63.66,1.91,9.82,12.08,1.92,Hassan
1641103200,2,307.08,0.35,1.44,77.25,1.94,11.74,14.21,2.09,Hassan
1641106800,1,280.38,0.14,1.0,72.96,1.3,9.02,10.86,1.6,Hassan
1641110400,1,273.7,0.08,1.03,73.67,1.12,8.61,10.38,1.54,Hassan
1641114000,2,283.72,0.07,1.16,80.11,1.21,9.57,11.52,1.68,Hassan
1641117600,2,287.06,0.06,1.33,81.54,1.22,9.26,11.15,1.82,Hassan
1641121200,1,280.38,0.06,1.8,77.96,1.25,8.16,9.99,2.06,Hassan
1641124800,1,280.38,0.04,2.55,73.67,1.36,7.65,9.59,2.41,Hassan
1641128400,1,300.41,0.0,4.41,68.66,1.58,8.24,10.66,3.8,Hassan
1641132000,1,313.76,0.0,5.65,60.8,1.59,8.16,11.05,5.13,Hassan
1641135600,1,320.43,0.0,6.34,54.36,1.59,8.02,11.35,5.83,Hassan
1641139200,1,323.77,0.0,6.77,50.07,1.83,8.61,12.3,6.08,Hassan
1641142800,1,327.11,0.0,6.43,47.21,1.91,9.0,12.72,5.89,Hassan
1641146400,1,333.79,0.0,5.83,47.21,1.74,9.95,13.65,5.38,Hassan
1641150000,2,347.14,0.0,5.01,50.07,1.52,12.36,16.15,4.31,Hassan
1641153600,2,363.83,0.0,4.33,53.64,1.42,15.89,20.21,3.23,Hassan
1641157200,2,380.52,0.0,3.77,55.07,1.33,19.97,25.19,2.47,Hassan
1641160800,3,387.19,0.0,3.34,55.79,1.27,22.36,28.45,2.18,Hassan
1641164400,3,390.53,0.0,3.0,56.51,1.19,21.06,26.96,2.03,Hassan
1641168000,2,387.19,0.0,2.78,56.51,1.13,19.19,24.52,1.9,Hassan
1641171600,2,377.18,0.0,2.96,56.51,1.19,16.18,20.69,1.82,Hassan
1641175200,2,373.84,0.01,3.81,55.07,1.39,13.41,17.24,1.79,Hassan
1641178800,2,377.18,0.44,4.41,54.36,1.53,11.1,14.34,1.87,Hassan
1641182400,1,360.49,0.77,3.38,60.8,1.43,8.74,11.27,1.84,Hassan
1641186000,1,350.48,0.59,2.57,71.53,1.48,9.25,11.69,2.15,Hassan
1641189600,2,350.48,0.35,1.78,85.12,1.62,11.21,13.72,2.47,Hassan
1641193200,2,313.76,0.19,0.89,82.25,1.19,8.59,10.28,1.88,Hassan
1641196800,2,297.07,0.14,0.71,80.82,1.06,7.71,9.02,1.68,Hassan
1641200400,2,300.41,0.15,0.77,86.55,1.18,9.02,10.33,1.77,Hassan
1641204000,2,313.76,0.19,1.17,92.98,1.24,10.47,11.84,2.09,Hassan
1641207600,2,333.79,0.24,2.14,97.27,1.36,12.17,13.72,2.53,Hassan
1641211200,2,353.81,0.17,3.73,98.71,1.48,13.5,15.26,2.94,Hassan
1641214800,2,440.6,0.03,13.37,79.39,1.94,17.01,20.5,6.52,Hassan
1641218400,3,560.76,0.0,23.31,55.79,2.5,22.13,28.47,10.77,Hassan
1641222000,4,647.54,0.0,26.39,42.2,2.74,26.22,34.94,13.3,Hassan
1641225600,4,680.92,0.0,25.02,37.19,2.59,29.64,39.99,14.69,Hassan
1641229200,4,680.92,0.0,21.08,36.48,2.26,31.12,41.6,14.69,Hassan
1641232800,4,647.54,0.0,18.34,35.41,1.77,29.48,38.84,11.91,Hassan
1641236400,4,594.14,0.0,15.59,37.19,1.68,26.24,33.82,8.36,Hassan
1641240000,4,600.81,0.0,15.94,32.54,1.94,27.4,34.85,5.89,Hassan
1641243600,4,634.19,0.0,16.45,29.33,2.15,30.56,38.29,4.37,Hassan
1641247200,4,660.9,0.0,16.45,28.25,2.21,34.6,42.8,3.51,Hassan
1641250800,4,667.57,0.0,14.91,30.04,2.06,38.94,47.59,3.1,Hassan
1641254400,4,654.22,0.0,12.51,33.97,1.77,40.88,49.58,2.94,Hassan
1641258000,4,620.84,0.0,10.28,38.98,1.58,41.11,49.81,2.91,Hassan
1641261600,4,607.49,0.01,10.37,41.84,1.64,39.56,48.16,2.72,Hassan
1641265200,4,587.46,0.19,10.71,45.42,1.73,34.01,41.26,2.37,Hassan
1641268800,3,514.03,0.33,6.17,62.94,1.71,23.99,28.63,1.84,Hassan
1641272400,3,480.65,0.43,3.9,72.24,1.64,23.72,27.99,1.98,Hassan
1641276000,3,453.95,0.32,2.38,82.97,1.52,23.01,26.8,2.18,Hassan
1641279600,2,373.84,0.19,1.04,83.68,1.06,14.7,16.8,1.61,Hassan
1641283200,2,340.46,0.14,0.84,82.97,0.81,9.96,11.32,1.49,Hassan
1641286800,2,340.46,0.13,0.91,85.83,0.81,9.06,10.3,1.57,Hassan
1641290400,2,353.81,0.19,1.07,92.98,0.93,11.05,12.51,1.82,Hassan
1641294000,2,370.5,0.24,1.82,100.14,1.07,14.49,16.39,2.28,Hassan
1641297600,2,387.19,0.21,3.38,101.57,1.18,17.08,19.31,2.69,Hassan
1641301200,3,440.6,0.03,9.6,89.41,1.59,20.76,24.2,5.26,Hassan
1641304800,3,500.68,0.0,14.57,72.96,2.09,24.9,29.94,8.11,Hassan
1641308400,4,534.06,0.0,15.08,63.66,2.35,27.79,33.96,9.88,Hassan
1641312000,4,547.41,0.0,14.05,58.65,2.44,30.84,37.68,11.15,Hassan
1641315600,4,554.08,0.0,12.85,55.07,2.44,34.36,41.49,11.78,Hassan
1641319200,4,547.41,0.0,12.51,52.93,2.29,37.0,44.02,11.78,Hassan
1641322800,4,540.73,0.0,11.82,50.78,2.35,38.22,44.99,10.89,Hassan
1641326400,4,567.44,0.0,13.54,42.56,2.62,40.81,47.85,10.13,Hassan
1641330000,4,607.49,0.0,15.42,36.84,2.77,43.17,50.68,7.6,Hassan
1641333600,4,620.84,0.0,15.08,36.48,2.59,44.32,52.08,5.07,Hassan
1641337200,4,600.81,0.0,12.68,39.7,2.26,44.75,52.65,3.58,Hassan
1641340800,4,560.76,0.0,10.11,43.99,1.94,45.29,53.36,2.94,Hassan
1641344400,4,534.06,0.0,8.48,47.92,1.83,47.43,56.03,2.72,Hassan
1641348000,5,520.71,0.01,9.17,49.35,1.97,51.05,60.54,2.63,Hassan
1641351600,5,514.03,0.41,9.51,54.36,2.06,54.95,64.93,2.47,Hassan
1641355200,5,480.65,0.82,6.6,71.53,1.94,54.53,63.78,2.41,Hassan
1641358800,5,473.98,0.87,5.1,87.26,1.8,52.45,61.18,3.17,Hassan
1641362400,5,467.3,0.52,3.34,108.72,1.71,52.73,60.98,3.7,Hassan
1641366000,4,383.85,0.18,1.07,111.58,1.13,35.47,40.21,2.01,Hassan
1641369600,4,367.16,0.13,0.8,113.01,1.0,30.09,33.69,1.74,Hassan
1641373200,4,360.49,0.13,0.86,114.44,0.95,29.48,32.89,1.88,Hassan
1641376800,4,357.15,0.15,1.03,115.87,0.92,28.68,31.89,2.06,Hassan
1641380400,4,353.81,0.19,1.5,117.3,0.93,27.91,30.99,2.31,Hassan
1641384000,4,360.49,0.19,2.57,117.3,1.06,28.72,31.91,2.72,Hassan
1641387600,4,423.91,0.01,9.94,98.71,1.59,32.25,36.75,5.64,Hassan
1641391200,4,507.35,0.0,17.31,75.1,2.21,36.5,43.0,9.25,Hassan
1641394800,4,567.44,0.0,19.88,59.37,2.5,39.26,47.3,11.27,Hassan
1641398400,4,654.22,0.0,24.33,40.41,2.92,43.69,54.54,15.07,Hassan
1641402000,4,767.71,0.04,30.16,22.53,3.93,49.79,64.1,22.29,Hassan
1641405600,5,867.84,0.2,34.62,11.98,5.19,55.82,71.78,31.41,Hassan
1641409200,5,907.9,0.24,36.33,8.85,5.48,59.47,74.52,38.0,Hassan
1641412800,5,881.2,0.09,33.24,11.0,4.77,60.93,74.36,37.49,Hassan
1641416400,5,814.44,0.03,28.1,15.02,3.25,60.46,72.43,27.87,Hassan
1641420000,5,720.98,0.0,20.39,21.1,1.71,58.87,69.44,12.16,Hassan
1641423600,5,700.95,0.0,16.79,21.46,1.16,62.43,73.17,7.47,Hassan
1641427200,5,734.33,0.01,16.45,21.64,1.18,72.76,83.84,5.26,Hassan
1641430800,5,787.73,0.01,17.99,25.03,1.79,80.44,91.13,3.83,Hassan
1641434400,5,794.41,0.05,20.22,25.75,2.18,72.53,82.69,3.29,Hassan
1641438000,5,720.98,0.51,19.54,32.54,2.41,59.56,69.37,2.94,Hassan
1641441600,4,500.68,0.61,9.25,67.23,2.89,35.63,42.71,2.15,Hassan
1641445200,4,473.98,0.95,6.43,80.82,2.95,32.03,39.18,2.85,Hassan
1641448800,4,453.95,0.59,3.47,101.57,2.86,34.9,42.02,3.1,Hassan
1641452400,4,377.18,0.22,1.36,117.3,2.18,31.84,36.82,2.09,Hassan
1641456000,4,357.15,0.16,1.09,121.59,1.82,31.61,35.86,1.95,Hassan
1641459600,4,357.15,0.16,1.18,125.89,1.71,32.69,36.82,2.01,Hassan
1641463200,4,353.81,0.19,1.54,127.32,1.62,32.73,36.7,2.15,Hassan
1641466800,4,357.15,0.21,2.48,127.32,1.58,32.41,36.32,2.44,Hassan
1641470400,4,367.16,0.13,4.16,124.45,1.62,32.68,36.72,2.79,Hassan
1641474000,4,447.27,0.02,13.19,97.27,2.03,36.44,42.13,6.02,Hassan
1641477600,4,567.44,0.0,22.62,67.23,2.62,42.19,50.78,10.01,Hassan
1641481200,4,647.54,0.0,27.08,51.5,2.95,46.77,57.88,12.54,Hassan
1641484800,5,714.3,0.0,29.47,41.84,2.92,50.88,64.1,14.19,Hassan
1641488400,5,781.06,0.01,31.87,28.61,2.65,55.3,70.58,11.91,Hassan
1641492000,5,821.11,0.07,33.24,16.81,2.03,58.06,73.7,8.36,Hassan
1641495600,5,807.76,0.14,30.85,11.0,1.25,58.6,72.49,6.65,Hassan
1641499200,5,794.41,0.12,27.76,9.83,0.92,58.75,71.31,5.51,Hassan
1641502800,5,767.71,0.03,23.99,15.2,0.87,58.98,70.5,4.75,Hassan
1641506400,5,687.6,0.0,17.48,28.61,1.07,58.45,68.69,4.24,Hassan
1641510000,5,600.81,0.0,12.51,33.97,1.09,52.47,61.76,3.64,Hassan
1641513600,4,494.0,0.0,8.05,42.2,1.3,46.42,54.6,3.01,Hassan
1641517200,4,417.23,0.0,5.48,50.78,1.8,43.8,51.37,2.47,Hassan
1641520800,4,413.89,0.0,6.85,50.78,2.18,38.79,45.79,2.34,Hassan
1641524400,4,427.25,0.08,9.0,49.35,3.04,31.81,37.98,2.18,Hassan
1641528000,4,410.56,0.16,7.11,56.51,5.48,30.18,34.9,1.3,Hassan
1641531600,4,393.87,0.32,6.0,60.8,6.26,28.28,31.79,1.12,Hassan
1641535200,4,380.52,0.4,4.93,67.95,6.2,26.22,29.08,1.14,Hassan
1641538800,4,377.18,0.2,2.61,91.55,5.01,25.8,27.96,0.49,Hassan
1641542400,4,373.84,0.11,1.82,103.0,4.17,25.32,27.32,0.41,Hassan
1641546000,4,367.16,0.09,1.78,105.86,3.87,25.72,27.86,0.47,Hassan
1641549600,4,373.84,0.1,2.06,108.72,3.78,27.08,29.58,0.64,Hassan
1641553200,4,380.52,0.12,2.87,110.15,3.87,29.87,32.79,0.91,Hassan
1641556800,4,390.53,0.08,4.16,108.72,4.05,32.08,35.34,1.17,Hassan
1641560400,4,440.6,0.01,10.8,92.98,4.11,35.04,39.4,3.32,Hassan
1641564000,4,520.71,0.0,18.34,73.67,3.99,38.67,44.63,6.27,Hassan
1641567600,4,574.11,0.0,20.22,62.23,3.34,38.76,45.33,7.6,Hassan
1641571200,4,580.79,0.0,17.48,56.51,2.35,37.82,44.21,6.46,Hassan
1641574800,4,567.44,0.0,13.37,55.79,1.82,39.52,45.59,4.31,Hassan
1641578400,4,540.73,0.0,9.34,60.8,1.49,41.33,46.64,2.91,Hassan
1641582000,4,527.38,0.0,8.4,54.36,1.04,42.09,46.55,2.94,Hassan
1641585600,4,520.71,0.0,8.14,41.84,0.75,43.02,46.93,3.74,Hassan
1641589200,4,514.03,0.0,7.8,34.33,0.68,44.2,47.68,4.94,Hassan
1641592800,4,514.03,0.0,7.71,27.89,0.72,45.69,48.84,7.16,Hassan
1641596400,4,514.03,0.01,8.14,21.99,0.81,47.45,50.52,10.39,Hassan
1641600000,4,534.06,0.03,9.25,18.78,1.04,49.42,52.56,15.2,Hassan
1641603600,5,587.46,0.15,12.51,13.77,1.37,52.55,57.31,17.48,Hassan
1641607200,5,687.6,1.36,17.65,5.72,1.59,54.72,62.8,9.88,Hassan
1641610800,5,781.06,7.93,16.11,8.05,1.64,53.87,64.5,5.7,Hassan
1641614400,4,520.71,1.63,7.2,54.36,2.95,41.04,48.13,4.43,Hassan
1641618000,4,507.35,1.3,6.08,72.96,2.89,39.87,46.92,5.32,Hassan
1641621600,4,514.03,0.68,4.63,97.27,2.74,42.06,48.83,5.83,Hassan
1641625200,4,460.62,0.19,1.76,107.29,2.15,32.81,36.78,3.04,Hassan
1641628800,4,433.92,0.13,1.23,108.72,1.88,27.26,30.16,2.12,Hassan
1641632400,4,423.91,0.14,1.27,110.15,1.82,25.41,27.94,2.01,Hassan
1641636000,3,427.25,0.14,1.61,111.58,1.77,24.7,27.1,2.09,Hassan
1641639600,4,440.6,0.13,2.48,113.01,1.7,25.21,27.67,2.44,Hassan
1641643200,4,447.27,0.07,3.86,110.15,1.67,26.13,28.73,2.82,Hassan
1641646800,4,460.62,0.0,5.65,104.43,1.79,27.73,30.66,3.58,Hassan
1641650400,4,467.3,0.0,7.03,94.41,1.94,27.77,30.96,4.5,Hassan
1641654000,4,460.62,0.0,7.28,86.55,1.89,26.62,29.8,4.88,Hassan
1641657600,4,480.65,0.0,8.91,73.67,1.83,28.67,32.58,6.33,Hassan
1641661200,4,514.03,0.0,10.54,59.37,1.62,32.7,37.47,6.02,Hassan
1641664800,4,520.71,0.0,10.62,47.21,1.21,37.68,42.52,3.99,Hassan
1641668400,4,507.35,0.0,9.6,37.19,0.77,41.82,46.2,3.36,Hassan
1641672000,4,494.0,0.0,8.57,30.04,0.57,43.44,47.7,3.67,Hassan
1641675600,4,480.65,0.0,7.8,24.32,0.49,43.87,48.14,4.24,Hassan
1641679200,4,473.98,0.01,7.11,20.38,0.47,43.45,47.22,4.56,Hassan
1641682800,4,473.98,0.02,6.85,17.34,0.44,43.15,46.38,4.43,Hassan
1641686400,4,494.0,0.03,7.88,13.95,0.45,44.18,47.38,4.81,Hassan
1641690000,4,547.41,0.1,10.88,11.09,0.61,44.13,48.43,5.13,Hassan
1641693600,4,580.79,0.26,14.05,9.57,0.95,39.42,45.81,4.56,Hassan
1641697200,4,567.44,1.08,15.25,14.31,1.3,34.07,41.69,3.89,Hassan
1641700800,4,400.54,0.57,6.0,54.36,2.21,25.53,30.83,2.41,Hassan
1641704400,3,367.16,0.51,3.81,67.23,2.56,22.41,26.48,1.98,Hassan
1641708000,3,360.49,0.45,2.87,74.39,2.56,20.02,23.35,1.96,Hassan
1641711600,2,340.46,0.24,1.59,83.68,2.44,19.64,22.27,1.36,Hassan
1641715200,2,333.79,0.17,1.16,87.26,2.06,18.72,20.95,1.12,Hassan
1641718800,2,340.46,0.15,1.11,90.12,1.85,17.95,20.0,1.12,Hassan
1641722400,2,343.8,0.16,1.24,92.98,1.7,17.39,19.29,1.22,Hassan
1641726000,2,347.14,0.17,1.69,94.41,1.7,17.3,19.2,1.42,Hassan
1641729600,2,353.81,0.13,2.61,92.98,1.76,17.36,19.35,1.68,Hassan
1641733200,2,407.22,0.02,9.08,77.96,2.0,19.6,22.59,4.5,Hassan
1641736800,3,487.33,0.0,16.45,59.37,2.26,22.97,27.68,7.98,Hassan
1641740400,4,534.06,0.0,19.19,48.64,2.24,26.25,32.21,10.01,Hassan
1641744000,4,534.06,0.0,17.65,44.7,1.89,28.23,34.36,9.88,Hassan
1641747600,4,500.68,0.0,14.05,41.84,1.56,27.62,33.24,7.54,Hassan
1641751200,3,447.27,0.0,9.94,39.34,1.15,24.53,29.06,4.69,Hassan
1641754800,3,407.22,0.0,7.88,34.69,0.77,21.23,24.93,3.26,Hassan
1641758400,2,390.53,0.0,7.54,27.54,0.63,19.76,23.44,3.23,Hassan
1641762000,2,383.85,0.01,7.2,21.99,0.57,19.25,23.06,3.58,Hassan
1641765600,2,380.52,0.02,6.77,18.42,0.55,19.04,23.0,3.93,Hassan
1641769200,2,373.84,0.03,6.43,16.09,0.54,19.02,23.02,3.99,Hassan
1641772800,2,370.5,0.07,6.6,13.95,0.57,19.19,23.28,4.05,Hassan
1641776400,2,390.53,0.23,8.31,11.18,0.78,19.99,24.6,3.89,Hassan
1641780000,3,453.95,0.95,12.68,7.15,1.25,21.57,27.48,4.02,Hassan
1641783600,3,514.03,4.92,12.34,13.05,1.53,22.29,28.88,4.62,Hassan
1641787200,2,370.5,0.13,4.67,69.38,0.85,14.16,16.37,1.66,Hassan
1641790800,2,367.16,0.16,3.94,72.24,0.89,13.22,15.33,1.96,Hassan
1641794400,2,373.84,0.21,3.9,72.24,0.88,13.01,15.24,2.18,Hassan
1641798000,2,373.84,0.15,2.72,82.25,0.93,14.83,16.8,1.63,Hassan
1641801600,2,367.16,0.13,2.08,87.26,0.95,14.18,15.87,1.41,Hassan
1641805200,2,363.83,0.13,1.86,90.12,0.95,13.01,14.53,1.41,Hassan
1641808800,2,370.5,0.14,2.03,92.98,0.97,12.55,14.04,1.55,Hassan
1641812400,2,380.52,0.13,2.96,91.55,1.01,13.45,15.07,1.9,Hassan
1641816000,2,393.87,0.09,4.58,87.98,1.07,13.82,15.58,2.28,Hassan
1641819600,2,487.33,0.02,15.08,63.66,1.7,16.05,19.58,6.02,Hassan
1641823200,3,627.52,0.0,27.76,37.55,2.53,20.58,27.13,10.26,Hassan
1641826800,3,707.63,0.01,33.93,24.32,2.8,23.68,32.59,12.67,Hassan
1641830400,3,720.98,0.03,33.59,18.06,2.68,24.34,34.37,13.68,Hassan
1641834000,3,700.95,0.06,30.16,15.38,2.41,23.35,33.12,13.3,Hassan
1641837600,2,614.17,0.04,23.65,16.09,1.85,19.36,27.22,10.13,Hassan
1641841200,2,540.73,0.06,17.82,14.66,1.18,15.72,21.75,6.97,Hassan
1641844800,2,520.71,0.11,15.42,9.92,0.89,15.39,21.23,6.27,Hassan
1641848400,2,534.06,0.23,14.57,5.68,0.86,16.88,23.3,7.98,Hassan
1641852000,2,554.08,0.45,14.39,3.13,0.97,18.81,26.05,11.02,Hassan
1641855600,3,567.44,0.87,13.71,1.54,0.97,20.61,28.33,10.89,Hassan
1641859200,3,600.81,1.37,14.05,1.24,0.92,22.99,31.18,9.12,Hassan
1641862800,4,667.57,2.37,16.28,1.08,1.09,26.92,36.44,7.16,Hassan
1641866400,4,781.06,7.26,17.31,0.89,1.67,32.78,44.96,5.64,Hassan
1641870000,4,881.2,15.42,15.94,6.26,2.26,38.27,52.11,5.32,Hassan
1641873600,4,487.33,1.87,8.48,53.64,6.79,45.9,53.92,2.47,Hassan
1641877200,4,460.62,1.34,6.0,75.82,7.33,46.8,54.71,2.75,Hassan
1641880800,5,423.91,0.66,3.68,104.43,7.15,51.06,58.35,1.82,Hassan
1641884400,4,353.81,0.24,1.59,110.15,4.65,39.68,44.09,0.45,Hassan
1641888000,4,347.14,0.16,1.2,108.72,3.16,31.75,34.82,0.51,Hassan
1641891600,4,347.14,0.14,1.27,110.15,2.65,29.03,31.67,0.73,Hassan
1641895200,4,353.81,0.18,1.95,111.58,2.41,28.61,31.33,1.2,Hassan
1641898800,4,373.84,0.22,3.3,114.44,2.18,29.75,32.78,1.84,Hassan
1641902400,4,397.21,0.17,5.4,108.72,1.82,27.45,30.45,2.34,Hassan
1641906000,3,433.92,0.02,9.34,94.41,1.68,24.71,27.94,3.67,Hassan
1641909600,3,453.95,0.0,11.14,75.82,1.62,20.99,24.49,4.94,Hassan
1641913200,2,427.25,0.0,9.6,65.09,1.67,17.9,21.35,5.26,Hassan
1641916800,2,403.88,0.0,8.57,61.51,1.86,18.02,21.71,5.76,Hassan
1641920400,2,393.87,0.0,8.57,56.51,1.89,17.94,22.18,6.46,Hassan
1641924000,2,377.18,0.0,8.31,52.21,1.64,17.38,21.82,5.89,Hassan
1641927600,2,363.83,0.0,8.14,46.49,1.21,16.86,21.19,4.81,Hassan
1641931200,2,363.83,0.0,8.14,38.98,0.92,17.25,21.75,4.31,Hassan
1641934800,2,367.16,0.0,8.05,32.9,0.82,18.24,23.19,4.56,Hassan
1641938400,2,373.84,0.0,8.14,28.25,0.78,19.77,25.29,5.07,Hassan
1641942000,3,380.52,0.01,8.14,23.25,0.72,21.55,27.49,4.62,Hassan
1641945600,3,390.53,0.03,8.4,18.6,0.7,23.23,29.49,4.24,Hassan
1641949200,3,413.89,0.13,9.94,14.84,0.92,24.82,31.65,3.96,Hassan
1641952800,4,473.98,0.57,14.39,11.44,1.51,26.97,35.22,5.07,Hassan
1641956400,4,534.06,3.86,14.57,18.78,1.91,28.52,37.44,6.59,Hassan
1641960000,3,400.54,1.4,6.25,67.23,1.3,20.33,24.63,3.2,Hassan
1641963600,3,397.21,1.05,4.67,87.26,1.22,20.49,24.37,3.01,Hassan
1641967200,3,400.54,0.55,3.04,111.58,1.15,22.93,26.59,2.98,Hassan
1641970800,2,337.12,0.17,1.04,110.15,0.71,18.29,20.19,1.31,Hassan
1641974400,2,320.43,0.13,0.86,107.29,0.58,16.21,17.76,0.95,Hassan
1641978000,2,310.42,0.12,0.94,103.0,0.52,14.19,15.64,0.9,Hassan
1641981600,2,300.41,0.12,1.08,94.41,0.45,11.48,12.8,0.94,Hassan
1641985200,2,290.39,0.15,1.34,87.26,0.39,8.74,10.02,1.09,Hassan
1641988800,2,283.72,0.14,1.84,82.25,0.37,7.14,8.56,1.23,Hassan
1641992400,1,300.41,0.04,4.46,74.39,0.69,7.51,9.56,2.37,Hassan
1641996000,1,320.43,0.0,6.25,66.52,1.1,8.66,11.4,3.51,Hassan
1641999600,1,320.43,0.0,6.68,62.94,1.3,9.72,13.01,4.12,Hassan
1642003200,2,323.77,0.0,6.68,61.51,1.39,11.34,15.18,4.24,Hassan
1642006800,2,327.11,0.0,6.6,59.37,1.42,13.65,18.06,3.64,Hassan
1642010400,2,330.45,0.0,6.43,57.22,1.27,15.77,20.28,2.69,Hassan
1642014000,2,330.45,0.0,6.68,52.21,0.92,17.31,21.63,2.22,Hassan
1642017600,2,340.46,0.0,7.03,45.42,0.72,18.57,22.99,2.63,Hassan
1642021200,2,353.81,0.0,7.37,39.34,0.67,19.7,24.5,3.74,Hassan
1642024800,3,363.83,0.0,7.54,35.41,0.69,20.57,25.82,5.0,Hassan
1642028400,3,367.16,0.0,7.28,33.26,0.67,21.1,26.42,4.81,Hassan
1642032000,3,367.16,0.0,7.28,30.76,0.65,21.28,26.58,4.31,Hassan
1642035600,3,390.53,0.02,9.17,27.18,0.83,21.72,27.39,3.99,Hassan
1642039200,3,447.27,0.32,14.57,21.82,1.27,22.53,29.3,4.37,Hassan
1642042800,3,480.65,3.55,14.22,27.54,1.42,21.07,27.77,4.75,Hassan
1642046400,2,377.18,2.18,6.85,54.36,0.86,11.93,15.29,3.01,Hassan
1642050000,2,370.5,1.84,6.0,72.96,0.86,11.42,14.56,3.39,Hassan
1642053600,2,363.83,0.88,4.16,105.86,0.85,13.14,16.17,3.74,Hassan
1642057200,2,267.03,0.21,1.01,87.26,0.31,4.1,5.11,1.38,Hassan
1642060800,1,240.33,0.14,0.63,76.53,0.19,1.79,2.35,0.85,Hassan
1642064400,1,233.65,0.13,0.57,70.81,0.16,1.27,1.74,0.72,Hassan
1642068000,1,233.65,0.15,0.69,70.1,0.18,1.81,2.48,0.77,Hassan
1642071600,1,247.0,0.19,1.08,72.96,0.24,3.85,5.13,1.01,Hassan
1642075200,1,263.69,0.19,1.8,77.25,0.52,7.3,9.42,1.3,Hassan
1642078800,2,297.07,0.06,5.18,73.67,1.13,11.05,14.18,2.66,Hassan
1642082400,2,320.43,0.0,7.2,67.95,1.61,13.57,17.44,3.83,Hassan
1642086000,2,323.77,0.0,7.37,64.37,1.7,14.44,18.64,4.31,Hassan
1642089600,2,347.14,0.0,9.17,54.36,1.73,15.35,20.23,6.08,Hassan
1642093200,2,373.84,0.0,10.8,44.35,1.65,16.27,21.76,6.71,Hassan
1642096800,2,377.18,0.0,10.97,40.41,1.33,16.33,21.71,5.07,Hassan
1642100400,2,357.15,0.0,9.77,39.7,0.92,15.64,20.4,3.74,Hassan
1642104000,2,337.12,0.0,8.05,39.7,0.74,15.28,19.62,3.8,Hassan
1642107600,2,323.77,0.0,6.68,38.62,0.66,15.28,19.44,4.37,Hassan
1642111200,2,330.45,0.0,6.6,31.83,0.61,16.24,20.64,5.76,Hassan
